code,country_code,regex,lengths,national_prefix,international_prefix,national_example,international_example,e164_example,rfc3966_example
KR,82,"1(?:05(?:[0-8]\d|9[0-6])|22[13]\d)\d{4,5}|1(?:0[0-46-9]|[16-9]\d|2[013-9])\d{6,7}","9, 10",,,010-2000-0000,"+82 10-2000-0000",+821020000000,tel:+82-10-2000-0000
XK,383,"4[3-9]\d{6}",8,,,"043 201 234","+383 43 201 234",+38343201234,tel:+383-43-201-234
KW,965,"(?:41\d\d|5(?:(?:[05]\d|1[0-7]|6[56])\d|2(?:22|5[25])|7(?:55|77)|88[58])|6(?:(?:0[034679]|5[015-9]|6\d)\d|1(?:00|11|6[16])|2[26]2|3[36]3|4[46]4|7(?:0[013-9]|[67]\d)|8[68]8|9(?:[069]\d|3[039]))|9(?:(?:[04679]\d|8[057-9])\d|1(?:00|1[01]|99)|2(?:00|2\d)|3(?:00|3[03])|5(?:00|5\d)))\d{4}",8,,,"500 12345","+965 500 12345",+96550012345,tel:+965-500-12345
LA,856,"(?:20(?:[23579]\d|8[78])|30[24]\d)\d{6}|30\d{7}","9, 10",,,"020 23 123 456","+856 20 23 123 456",+8562023123456,tel:+856-20-23-123-456
LB,961,"(?:(?:3|81)\d|7(?:[01]\d|6[013-9]|8[7-9]|9[1-3]))\d{5}",,,,"71 123 456","+961 71 123 456",+96171123456,tel:+961-71-123-456
LR,231,"(?:(?:(?:22|33)0|555|7(?:6[01]|7\d)|88\d)\d|4(?:240|[67]))\d{5}|[56]\d{6}","7, 9",,,"077 012 3456","+231 77 012 3456",+231770123456,tel:+231-77-012-3456
LY,218,"9[1-6]\d{7}",,,,091-2345678,"+218 91-2345678",+218912345678,tel:+218-91-2345678
LC,1,"758(?:28[4-7]|384|4(?:6[01]|8[4-9])|5(?:1[89]|20|84)|7(?:1[2-9]|2\d|3[0-3])|812)\d{4}",,,,"(758) 284-5678","+1 758-284-5678",+17582845678,tel:+1-758-284-5678
LI,423,"(?:6(?:(?:4[5-9]|5\d)\d|6(?:[024-6]\d|[17]0|3[7-9]))\d|7(?:[37-9]\d|42|56))\d{4}",,,,"660 234 567","+423 660 234 567",+423660234567,tel:+423-660-234-567
LK,94,"7(?:[0-25-8]\d|4[0-4])\d{6}",,,,"071 234 5678","+94 71 234 5678",+94712345678,tel:+94-71-234-5678
LS,266,"[56]\d{7}",,,,"5012 3456","+266 5012 3456",+26650123456,tel:+266-5012-3456
LT,370,"6\d{7}",,,,"(0-612) 34567","+370 612 34567",+37061234567,tel:+370-612-34567
LU,352,"6(?:[269][18]|5[1568]|7[189]|81)\d{6}",9,,,"628 123 456","+352 628 123 456",+352628123456,tel:+352-628-123-456
LV,371,"2333[0-8]\d{3}|2(?:[0-24-9]\d\d|3(?:0[07]|[14-9]\d|2[02-9]|3[0-24-9]))\d{4}",,,,"21 234 567","+371 21 234 567",+37121234567,tel:+371-21-234-567
MO,853,"6800[0-79]\d{3}|6(?:[235]\d\d|6(?:0[0-5]|[1-9]\d)|8(?:0[1-9]|[14-8]\d|2[5-9]|[39][0-4]))\d{4}",8,,,"6612 3456","+853 6612 3456",+85366123456,tel:+853-6612-3456
MF,590,"(?:69(?:0\d\d|1(?:2[2-9]|3[0-5])|4(?:0[89]|1[2-6]|9\d)|6(?:1[016-9]|5[0-4]|[67]\d))|7090[0-4])\d{4}",,,,"0690 00 12 34","+590 690 00 12 34",+590690001234,tel:+590-690-00-12-34
MA,212,"(?:6(?:[0-79]\d|8[0-247-9])|7(?:[0167]\d|2[0-8]|5[0-5]|8[0-7]))\d{6}",,,,0650-123456,"+212 650-123456",+212650123456,tel:+212-650-123456
MC,377,"4(?:[469]\d|5[1-9])\d{5}|(?:3|6\d)\d{7}",,,,"06 12 34 56 78","+377 6 12 34 56 78",+377612345678,tel:+377-6-12-34-56-78
MD,373,"562\d{5}|(?:6\d|7[16-9])\d{6}",,,,"0621 12 345","+373 621 12 345",+37362112345,tel:+373-621-12-345
MG,261,"3[2-47-9]\d{7}",,,,"032 12 345 67","+261 32 12 345 67",+261321234567,tel:+261-32-12-345-67
MV,960,"(?:46[46]|[79]\d\d)\d{4}",7,,,771-2345,"+960 771-2345",+9607712345,tel:+960-771-2345
MX,52,"(?:2(?:2\d|3[1-35-8]|4[13-9]|7[1-689]|8[1-578]|9[467])|3(?:1[1-79]|[2458][1-9]|3\d|7[1-8]|9[1-5])|4(?:1[1-57-9]|[267][1-9]|3[1-8]|[45]\d|8[1-35-9]|9[2-689])|5(?:[56]\d|88|9[1-79])|6(?:1[2-68]|[2-4][1-9]|5[1-36-9]|6[0-57-9]|7[1-7]|8[67]|9[4-8])|7(?:[1346][1-9]|[27]\d|5[13-9]|8[1-69]|9[17])|8(?:1\d|2[13-689]|3[1-6]|4[124-6]|6[1246-9]|7[0-378]|9[12479])|9(?:1[346-9]|2[1-4]|3[2-46-8]|5[1348]|[69]\d|7[12]|8[1-8]))\d{7}",,,,"222 123 4567","+52 222 123 4567",+522221234567,tel:+52-222-123-4567
MH,692,"(?:(?:23|54)5|329|45[35-8])\d{4}",,,,235-1234,"+692 235-1234",+6922351234,tel:+692-235-1234
MK,389,"7(?:3555|(?:474|9[019]7)7)\d{3}|7(?:[0-25-8]\d\d|3(?:[1-478]\d|6[01])|4(?:2\d|60|7[01578])|9(?:[2-4]\d|5[01]|7[015]))\d{4}",,,,"072 345 678","+389 72 345 678",+38972345678,tel:+389-72-345-678
ML,223,"2(?:0(?:01|79)|17\d)\d{4}|(?:5[0-3]|[679]\d|8[2-59])\d{6}",,,,"65 01 23 45","+223 65 01 23 45",+22365012345,tel:+223-65-01-23-45
MT,356,"(?:7(?:210|[79]\d\d)|9(?:[29]\d\d|69[67]|8(?:1[1-3]|89|97)))\d{4}",,,,"9696 1234","+356 9696 1234",+35696961234,tel:+356-9696-1234
MM,95,"(?:17[01]|9(?:2(?:[0-4]|[56]\d\d)|(?:3(?:[0-36]|4\d)|(?:6\d|8[89]|9[4-8])\d|7(?:3|40|[5-9]\d))\d|4(?:(?:[0245]\d|[1379])\d|88)|5[0-6])\d)\d{4}|9[69]1\d{6}|9(?:[68]\d|9[089])\d{5}","7, 8, 9, 10",,,"09 212 3456","+95 9 212 3456",+9592123456,tel:+95-9-212-3456
ME,382,"6(?:[07-9]\d|3[024]|6[0-25])\d{5}",8,,,"060 123 456","+382 60 123 456",+38260123456,tel:+382-60-123-456
MN,976,"92[0139]\d{5}|(?:5[05]|6[069]|7[28]|8[0135689]|9[013-9])\d{6}",8,,,"8812 3456","+976 8812 3456",+97688123456,tel:+976-8812-3456
MP,1,"670(?:2(?:3[3-7]|56|8[4-8])|32[1-38]|4(?:33|8[348])|5(?:32|55|88)|6(?:64|70|82)|78[3589]|8[3-9]8|989)\d{4}",,,,"(670) 234-5678","+1 670-234-5678",+16702345678,tel:+1-670-234-5678
MZ,258,"8[2-79]\d{7}",9,,,"82 123 4567","+258 82 123 4567",+258821234567,tel:+258-82-123-4567
MR,222,"[2-4][0-46-9]\d{6}",,,,"22 12 34 56","+222 22 12 34 56",+22222123456,tel:+222-22-12-34-56
MS,1,"664(?:3(?:49|9[1-6])|49[2-6])\d{4}",,,,"(664) 492-3456","+1 664-492-3456",+16644923456,tel:+1-664-492-3456
MQ,596,"(?:69[67]\d\d|7091[0-3])\d{4}",,,,"0696 20 12 34","+596 696 20 12 34",+596696201234,tel:+596-696-20-12-34
MU,230,"5(?:4(?:2[1-389]|7[1-9])|87[15-8])\d{4}|(?:5(?:2[5-9]|4[3-689]|[57]\d|8[0-689]|9[0-8])|7(?:0[0-6]|3[013]))\d{5}",8,,,"5251 2345","+230 5251 2345",+23052512345,tel:+230-5251-2345
MW,265,"111\d{6}|(?:31|77|[89][89])\d{7}",9,,,"0991 23 45 67","+265 991 23 45 67",+265991234567,tel:+265-991-23-45-67
MY,60,"1(?:1888[689]|4400|8(?:47|8[27])[0-4])\d{4}|1(?:0(?:[23568]\d|4[0-6]|7[016-9]|9[0-8])|1(?:[1-5]\d\d|6(?:0[5-9]|[1-9]\d)|7(?:[0-4]\d|5[0-7]))|(?:[269]\d|[37][1-9]|4[235-9])\d|5(?:31|9\d\d)|8(?:1[23]|[236]\d|4[06]|5(?:46|[7-9])|7[016-9]|8[01]|9[0-8]))\d{5}","9, 10",,,"012-345 6789","+60 12-345 6789",+60123456789,tel:+60-12-345-6789
YT,262,"(?:639(?:0[0-79]|1[019]|[267]\d|3[09]|40|5[05-9]|9[04-79])|7093[5-7])\d{4}",,,,"0639 01 23 45","+262 639 01 23 45",+262639012345,tel:+262-639-01-23-45
NA,264,"(?:60|8[1245])\d{7}",9,,,"081 123 4567","+264 81 123 4567",+264811234567,tel:+264-81-123-4567
NC,687,"(?:[579]\d|8[0-79])\d{4}",,,,75.12.34,"+687 75.12.34",+687751234,tel:+687-75-12-34
NE,227,"(?:23|7[0467]|[89]\d)\d{6}",,,,"93 12 34 56","+227 93 12 34 56",+22793123456,tel:+227-93-12-34-56
NF,672,"(?:14|3[58])\d{4}",,,,"3 81234","+672 3 81234",+672381234,tel:+672-3-81234
NG,234,"(?:702[0-24-9]|819[01])\d{6}|(?:7(?:0[13-9]|[12]\d)|8(?:0[1-9]|1[0-8])|9(?:0[1-9]|1[1-6]))\d{7}",10,,,"0802 123 4567","+234 802 123 4567",+2348021234567,tel:+234-802-123-4567
NI,505,"(?:5(?:5[0-7]|[78]\d)|6(?:20|3[035]|4[045]|5[05]|77|8[1-9]|9[059])|(?:7[5-8]|8\d)\d)\d{5}",,,,"8123 4567","+505 8123 4567",+50581234567,tel:+505-8123-4567
NU,683,"(?:[56]|888[1-9])\d{3}",,,,"888 4012","+683 888 4012",+6838884012,tel:+683-888-4012
NL,31,"(?:6[1-58]|970\d)\d{7}","9, 11",,,"06 12345678","+31 6 12345678",+31612345678,tel:+31-6-12345678
NO,47,"(?:4[015-8]|9\d)\d{6}",8,,,"40 61 23 45","+47 40 61 23 45",+4740612345,tel:+47-40-61-23-45
NP,977,"9(?:00|6[0-3]|7[0-24-6]|8[0-24-68])\d{7}",10,,,984-1234567,"+977 984-1234567",+9779841234567,tel:+977-984-1234567
NR,674,"(?:222|55[3-9]|666|777|8\d\d|999)\d{4}",,,,"555 1234","+674 555 1234",+6745551234,tel:+674-555-1234
NZ,64,"2(?:[0-27-9]\d|6)\d{6,7}|2(?:1\d|75)\d{5}","8, 9, 10",,,"021 123 4567","+64 21 123 4567",+64211234567,tel:+64-21-123-4567
OM,968,"1505\d{4}|(?:7(?:[125-9]\d|41)|9(?:0[1-9]|[1-9]\d))\d{5}",8,,,"9212 3456","+968 9212 3456",+96892123456,tel:+968-9212-3456
PK,92,"3(?:[0-247]\d|3[0-79]|55|64)\d{7}",10,,,"0301 2345678","+92 301 2345678",+923012345678,tel:+92-301-2345678
PA,507,"(?:1[16]1|21[89]|6\d{3}|8(?:1[01]|7[23]))\d{4}","7, 8",,,6123-4567,"+507 6123-4567",+50761234567,tel:+507-6123-4567
PN,,,,,,,,,
PE,51,"9\d{8}",9,,,"912 345 678","+51 912 345 678",+51912345678,tel:+51-912-345-678
PH,63,"(?:8(?:1[37]|9[5-8])|9(?:0[5-9]|1[0-24-9]|[235-7]\d|4[2-9]|8[135-9]|9[1-9]))\d{7}",10,,,"0905 123 4567","+63 905 123 4567",+639051234567,tel:+63-905-123-4567
PW,680,"(?:(?:46|83)[0-5]|(?:6[2-4689]|78)0)\d{4}|(?:45|77|88)\d{5}",,,,"620 1234","+680 620 1234",+6806201234,tel:+680-620-1234
PG,675,"(?:7\d|8[1-48])\d{6}",8,,,"7012 3456","+675 7012 3456",+67570123456,tel:+675-7012-3456
PL,48,"2131[89]\d{4}|21(?:1[013-5]|2\d|3[2-9])\d{5}|(?:45|5[0137]|6[069]|7[2389]|88)\d{7}",9,,,"512 345 678","+48 512 345 678",+48512345678,tel:+48-512-345-678
PR,1,"(?:787|939)[2-9]\d{6}",,,,"(787) 234-5678","+1 787-234-5678",+17872345678,tel:+1-787-234-5678
KP,850,"19[1-3]\d{7}",10,,,"0192 123 4567","+850 192 123 4567",+8501921234567,tel:+850-192-123-4567
PT,351,"6(?:[06]92(?:30|9\d)|[35]92(?:[049]\d|3[034]))\d{3}|(?:(?:16|6[0356])93|9(?:[1-36]\d\d|480))\d{5}",,,,"912 345 678","+351 912 345 678",+351912345678,tel:+351-912-345-678
PY,595,"9(?:51|6[129]|7[1-6]|8[1-7]|9[1-5])\d{6}",9,,,"0961 456789","+595 961 456789",+595961456789,tel:+595-961-456789
PS,970,"5[69]\d{7}",9,,,"0599 123 456","+970 599 123 456",+970599123456,tel:+970-599-123-456
PF,689,"8[7-9]\d{6}",8,,,"87 12 34 56","+689 87 12 34 56",+68987123456,tel:+689-87-12-34-56
QA,974,"[35-7]\d{7}",8,,,"3312 3456","+974 3312 3456",+97433123456,tel:+974-3312-3456
RE,262,"(?:69(?:2\d\d|3(?:[06][0-6]|1[0-3]|2[0-2]|3[0-39]|4\d|5[0-5]|7[0-37]|8[0-8]|9[0-479]))|7092[0-3])\d{4}",,,,"0692 12 34 56","+262 692 12 34 56",+262692123456,tel:+262-692-12-34-56
RO,40,"(?:630|702)0\d{5}|(?:6(?:00|2\d)|7(?:0[013-9]|1[0-3]|[2-7]\d|8[03-8]|9[0-39]))\d{6}",9,,,"0712 034 567","+40 712 034 567",+40712034567,tel:+40-712-034-567
RU,7,"9\d{9}",10,,,"8 (912) 345-67-89","+7 912 345-67-89",+79123456789,tel:+7-912-345-67-89
RW,250,"7[237-9]\d{7}",9,,,"0720 123 456","+250 720 123 456",+250720123456,tel:+250-720-123-456
SA,966,"579[01]\d{5}|5(?:[013-689]\d|7[0-8])\d{6}",9,,,"051 234 5678","+966 51 234 5678",+966512345678,tel:+966-51-234-5678
SD,249,"(?:1[0-2]|9[0-3569])\d{7}",,,,"091 123 1234","+249 91 123 1234",+249911231234,tel:+249-91-123-1234
SN,221,"7(?:(?:[06-8]\d|[19]0|21)\d|5(?:0[01]|[19]0|2[25]|3[356]|[4-7]\d|8[35]))\d{5}",,,,"70 123 45 67","+221 70 123 45 67",+221701234567,tel:+221-70-123-45-67
SG,65,"898[02-8]\d{4}|(?:8(?:0[1-9]|[1-8]\d|9[0-7])|9[0-8]\d)\d{5}",8,,,"8123 4567","+65 8123 4567",+6581234567,tel:+65-8123-4567
GS,,,,,,,,,
SJ,47,"(?:4[015-8]|9\d)\d{6}",8,,,"41 23 45 67","+47 41 23 45 67",+4741234567,tel:+47-41-23-45-67
SB,677,"48\d{3}|(?:(?:6[89]|7[1-9]|8[4-9])\d|9(?:1[2-9]|2[013-9]|3[0-2]|[46]\d|5[0-46-9]|7[0-689]|8[0-79]|9[0-8]))\d{4}",,,,"74 21234","+677 74 21234",+6777421234,tel:+677-74-21234
SL,232,"(?:25|3[0-5]|66|7[1-9]|8[08]|9[09])\d{6}",,,,"(025) 123456","+232 25 123456",+23225123456,tel:+232-25-123456
SV,503,"[67]\d{7}",8,,,"7012 3456","+503 7012 3456",+50370123456,tel:+503-7012-3456
SM,378,"6[16]\d{6}",8,,,"66 66 12 12","+378 66 66 12 12",+37866661212,tel:+378-66-66-12-12
SO,252,"(?:(?:15|(?:3[59]|4[89]|6\d|7[679]|8[08])\d|9(?:0\d|[2-9]))\d|2(?:4\d|8))\d{5}|(?:[67]\d\d|904)\d{5}","7, 8, 9",,,"7 1123456","+252 7 1123456",+25271123456,tel:+252-7-1123456
PM,508,"(?:4[02-489]|5[02-9]|708(?:4[0-5]|5[0-6]))\d{4}",,,,"055 12 34","+508 55 12 34",+508551234,tel:+508-55-12-34
RS,381,"6(?:[0-689]|7\d)\d{6,7}","8, 9, 10",,,"060 1234567","+381 60 1234567",+381601234567,tel:+381-60-1234567
SS,211,"(?:12|9[1257-9])\d{7}",,,,"0977 123 456","+211 977 123 456",+211977123456,tel:+211-977-123-456
ST,239,"900[5-9]\d{3}|9(?:0[1-9]|[89]\d)\d{4}",,,,"981 2345","+239 981 2345",+2399812345,tel:+239-981-2345
SR,597,"(?:6[08]|7[124-7]|8[1-9])\d{5}",7,,,741-2345,"+597 741-2345",+5977412345,tel:+597-741-2345
SK,421,"909[1-9]\d{5}|9(?:0[1-8]|1[0-24-9]|4[03-57-9]|5\d)\d{6}",9,,,"0912 123 456","+421 912 123 456",+421912123456,tel:+421-912-123-456
SI,386,"65(?:[178]\d|5[56]|6[01])\d{4}|(?:[37][01]|4[0139]|51|6[489])\d{6}",8,,,"031 234 567","+386 31 234 567",+38631234567,tel:+386-31-234-567
SE,46,"7[02369]\d{7}",9,,,"070-123 45 67","+46 70 123 45 67",+46701234567,tel:+46-70-123-45-67
SZ,268,"7[5-9]\d{6}",8,,,"7612 3456","+268 7612 3456",+26876123456,tel:+268-7612-3456
SC,248,"2[125-8]\d{5}",,,,"2 510 123","+248 2 510 123",+2482510123,tel:+248-2-510-123
SY,963,"(?:50|9[1-9])\d{7}",9,,,"0944 567 890","+963 944 567 890",+963944567890,tel:+963-944-567-890
TC,1,"649(?:2(?:3[129]|4[1-79])|3\d\d|4[34][1-3])\d{4}",,,,"(649) 231-1234","+1 649-231-1234",+16492311234,tel:+1-649-231-1234
TD,235,"(?:30|[69]\d|77|8[56])\d{6}",,,,"63 01 23 45","+235 63 01 23 45",+23563012345,tel:+235-63-01-23-45
TG,228,"(?:7[0-29]|9[0-36-9])\d{6}",,,,"90 11 23 45","+228 90 11 23 45",+22890112345,tel:+228-90-11-23-45
TH,66,"67(?:1[0-8]|2[4-7])\d{5}|(?:14|6[1-6]|[89]\d)\d{7}",9,,,"081 234 5678","+66 81 234 5678",+66812345678,tel:+66-81-234-5678
TJ,992,"(?:33[03-9]|4(?:1[18]|4[02-479])|81[1-9])\d{6}|(?:[09]\d|1[0-27-9]|2[0-27]|[34]0|5[05]|7[01578]|8[078])\d{7}",,,,"91 712 3456","+992 91 712 3456",+992917123456,tel:+992-91-712-3456
TK,690,"7[2-4]\d{2,5}",,,,7290,"+690 7290",+6907290,tel:+690-7290
TM,993,"(?:6\d|71)\d{6}",,,,"8 66 123456","+993 66 123456",+99366123456,tel:+993-66-123456
TL,670,"7[2-8]\d{6}",8,,,"7721 2345","+670 7721 2345",+67077212345,tel:+670-7721-2345
TO,676,"(?:5(?:4[0-5]|5[4-6])|6(?:[09]\d|3[02]|8[15-9])|(?:7\d|8[46-9])\d|999)\d{4}",7,,,"771 5123","+676 771 5123",+6767715123,tel:+676-771-5123
TT,1,"868(?:(?:2[5-9]|3\d)\d|4(?:3[0-6]|[6-9]\d)|6(?:20|78|8\d)|7(?:0[1-9]|1[02-9]|[2-9]\d))\d{4}",,,,"(868) 291-1234","+1 868-291-1234",+18682911234,tel:+1-868-291-1234
TN,216,"3(?:001|[12]40)\d{4}|(?:(?:[259]\d|4[0-8])\d|3(?:1[1-35]|6[0-4]|91))\d{5}",,,,"20 123 456","+216 20 123 456",+21620123456,tel:+216-20-123-456
TR,90,"561(?:011|61\d)\d{4}|5(?:0[15-7]|1[06]|24|[34]\d|5[1-59]|9[46])\d{7}",10,,,"0501 234 56 78","+90 501 234 56 78",+905012345678,tel:+90-501-234-56-78
TV,688,"(?:7[01]\d|90)\d{4}","6, 7",,,"90 1234","+688 90 1234",+688901234,tel:+688-90-1234
TW,886,"(?:40001[0-2]|9[0-8]\d{4})\d{3}",9,,,"0912 345 678","+886 912 345 678",+886912345678,tel:+886-912-345-678
TZ,255,"(?:6[125-9]|7[13-9])\d{7}",,,,"0621 234 567","+255 621 234 567",+255621234567,tel:+255-621-234-567
UG,256,"72[48]0\d{5}|7(?:[014-8]\d|2[067]|36|9[0189])\d{6}",,,,"0712 345678","+256 712 345678",+256712345678,tel:+256-712-345678
UA,380,"790\d{6}|(?:39|50|6[36-8]|7[1-357]|9[1-9])\d{7}",9,,,"050 123 4567","+380 50 123 4567",+380501234567,tel:+380-50-123-4567
UM,,,,,,,,,
UY,598,"9[1-9]\d{6}",8,,,"094 231 234","+598 94 231 234",+59894231234,tel:+598-94-231-234
US,1,"(?:3052(?:0[0-8]|[1-9]\d)|5056(?:[0-35-9]\d|4[0-68]))\d{4}|(?:2742|305[3-9]|(?:472|983)[2-47-9]|505[2-57-9])\d{6}|(?:2(?:0[1-35-9]|1[02-9]|2[03-57-9]|3[1459]|4[08]|5[1-46]|6[0279]|7[0269]|8[13])|3(?:0[1-47-9]|1[02-9]|2[0135-79]|3[0-24679]|4[167]|5[0-2]|6[01349]|8[056])|4(?:0[124-9]|1[02-579]|2[3-5]|3[0245]|4[023578]|58|6[349]|7[0589]|8[04])|5(?:0[1-47-9]|1[0235-8]|20|3[0149]|4[01]|5[179]|6[1-47]|7[0-5]|8[0256])|6(?:0[1-35-9]|1[024-9]|2[03689]|3[016]|4[0156]|5[01679]|6[0-279]|78|8[0-269])|7(?:0[1-46-8]|1[2-9]|2[04-8]|3[0-247]|4[0378]|5[47]|6[02359]|7[0-59]|8[156])|8(?:0[1-68]|1[02-8]|2[0168]|3[0-2589]|4[03578]|5[046-9]|6[02-5]|7[028])|9(?:0[1346-9]|1[02-9]|2[0589]|3[0146-8]|4[01357-9]|5[12469]|7[0-3589]|8[04-69]))[2-9]\d{6}",,,,"(201) 555-0123","+1 201-555-0123",+12015550123,tel:+1-201-555-0123
UZ,998,"(?:(?:[25]0|33|8[78]|9[0-57-9])\d{3}|6(?:1(?:2(?:2[01]|98)|35[0-4]|50\d|61[23]|7(?:[01][017]|4\d|55|9[5-9]))|2(?:(?:11|7\d)\d|2(?:[12]1|9[01379])|5(?:[126]\d|3[0-4]))|5(?:19[01]|2(?:27|9[26])|(?:30|59|7\d)\d)|6(?:2(?:1[5-9]|2[0367]|38|41|52|60)|(?:3[79]|9[0-3])\d|4(?:56|83)|7(?:[07]\d|1[017]|3[07]|4[047]|5[057]|67|8[0178]|9[79]))|7(?:2(?:24|3[237]|4[5-9]|7[15-8])|5(?:7[12]|8[0589])|7(?:0\d|[39][07])|9(?:0\d|7[079])))|7(?:[07]\d{3}|2(?:2(?:2[79]|95)|3(?:2[5-9]|6[0-6])|57\d|7(?:0\d|1[17]|2[27]|3[37]|44|5[057]|66|88))|3(?:2(?:1[0-6]|21|3[469]|7[159])|(?:33|9[4-6])\d|5(?:0[0-4]|5[579]|9\d)|7(?:[0-3579]\d|4[0467]|6[67]|8[078]))|4(?:2(?:29|5[0257]|6[0-7]|7[1-57])|5(?:1[0-4]|8\d|9[5-9])|7(?:0\d|1[024589]|2[0-27]|3[0137]|[46][07]|5[01]|7[5-9]|9[079])|9(?:7[015-9]|[89]\d))|5(?:112|2(?:0\d|2[29]|[49]4)|3[1568]\d|52[6-9]|7(?:0[01578]|1[017]|[23]7|4[047]|[5-7]\d|8[78]|9[079]))|9(?:22[128]|3(?:2[0-4]|7\d)|57[02569]|7(?:2[05-9]|3[37]|4\d|60|7[2579]|87|9[07]))))\d{4}",,,,"91 234 56 78","+998 91 234 56 78",+998912345678,tel:+998-91-234-56-78
VA,39,"3[1-9]\d{8}|3[2-9]\d{7}","9, 10",,,"312 345 6789","+39 312 345 6789",+393123456789,tel:+39-312-345-6789
VC,1,"784(?:4(?:3[0-5]|5[45]|89|9[0-8])|5(?:2[6-9]|3[0-4])|720)\d{4}",,,,"(784) 430-1234","+1 784-430-1234",+17844301234,tel:+1-784-430-1234
VE,58,"4(?:1[24-8]|2[246])\d{7}",,,,0412-1234567,"+58 412-1234567",+584121234567,tel:+58-412-1234567
VG,1,"284(?:245|3(?:0[0-3]|4[0-7]|68|9[34])|4(?:4[0-6]|68|9[69])|5(?:4[0-7]|68|9[69]))\d{4}",,,,"(284) 300-1234","+1 284-300-1234",+12843001234,tel:+1-284-300-1234
VI,1,"340(?:2(?:0\d|10|2[06-8]|4[49]|77)|3(?:32|44)|4(?:2[23]|44|7[34]|89)|5(?:1[34]|55)|6(?:2[56]|4[23]|77|9[023])|7(?:1[2-57-9]|2[57]|7\d)|884|998)\d{4}",,,,"(340) 642-1234","+1 340-642-1234",+13406421234,tel:+1-340-642-1234
VN,84,"(?:5(?:2[238]|59)|89[6-9]|99[013-9])\d{6}|(?:3\d|5[1689]|7[06-9]|8[1-8]|9[0-8])\d{7}",9,,,"0912 345 678","+84 912 345 678",+84912345678,tel:+84-912-345-678
VU,678,"(?:[58]\d|7[013-7])\d{5}",7,,,"591 2345","+678 591 2345",+6785912345,tel:+678-591-2345
WF,681,"(?:72|8[23])\d{4}",6,,,"82 12 34","+681 82 12 34",+681821234,tel:+681-82-12-34
WS,685,"(?:7[1-35-8]|8(?:[3-7]|9\d{3}))\d{5}","7, 10",,,"72 12345","+685 72 12345",+6857212345,tel:+685-72-12345
YE,967,"7[01378]\d{7}",9,,,"0712 345 678","+967 712 345 678",+967712345678,tel:+967-712-345-678
ZA,27,"(?:1(?:3492[0-25]|4495[0235]|549(?:20|5[01]))|4[34]492[01])\d{3}|8[1-4]\d{3,7}|(?:2[27]|47|54)4950\d{3}|(?:1(?:049[2-4]|9[12]\d\d)|(?:50[0-2]|6\d\d|7(?:[0-46-9]\d|5[0-4]))\d\d|8(?:5\d{3}|7(?:08[67]|158|28[5-9]|310)))\d{4}|(?:1[6-8]|28|3[2-69]|4[025689]|5[36-8])4920\d{3}|(?:12|[2-5]1)492\d{4}","5, 6, 7, 8, 9",,,"071 123 4567","+27 71 123 4567",+27711234567,tel:+27-71-123-4567
ZM,260,"(?:[59][5-8]|7[5-9])\d{7}",,,,"095 5123456","+260 95 5123456",+260955123456,tel:+260-95-5123456
ZW,263,"7(?:[1278]\d|3[1-9])\d{6}",9,,,"071 234 5678","+263 71 234 5678",+263712345678,tel:+263-71-234-5678
